ID,Longtitude,Latitude,Depth(km),Strike(deg),Dip(deg),Slip(deg),W(km),L(km),Slip(m),Magnitude
JNan_7.6_001,130.5793587,29.28038349,16.55808391,214.6407092,44.71810727,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_002,130.5764361,29.53719923,22.90810881,213.8723491,48.94972358,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_003,130.5735036,29.79381753,30.70792221,213.1206118,52.75680446,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_004,130.5707538,30.04997109,40.05874862,212.4164541,56.23999233,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_005,130.5683953,30.30540035,51.01221166,211.7908328,59.41136139,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_006,130.5663786,30.56022678,63.61219965,211.2311217,62.17346116,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_007,130.5644663,30.81481042,77.9019998,210.6963607,64.40785365,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_008,130.562592,31.06925276,94.00263317,210.1750052,65.91227548,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_009,130.5606841,31.32365295,112.1766556,209.6555107,66.11644602,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_010,130.5589546,31.57774386,131.8303228,209.1696883,64.21071257,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_011,130.5576356,31.83125453,152.1294727,208.7505268,58.82586371,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_012,130.5566782,32.0842745,172.6568475,208.388248,48.30176185,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_013,130.5560286,32.33689094,188.4152152,208.0730739,39.62744219,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_014,130.8267377,29.28454212,7.035174639,214.172579,36.18534044,90,57.57114321,115.1422864,1.16755014,7.6
JNan_7.6_015,130.823965,29.54099275,10.94550287,213.4421591,41.31158639,90,57.57114321,115.1422864,1.16755014,7.6
